GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
carbon fixation (GO:0015977),15,13,4.82,+,2.7,0.0129,0.566,0,4.86,-, < 0.01,0.03,0.754,11,2.67,+,4.12,0.000779,0.0374,13,8.97,+,1.45,0.334,1
"photosynthesis, light harvesting (GO:0009765)",29,25,9.32,+,2.68,0.000397,0.119,1,9.39,-,0.11,0.00452,0.193,23,5.16,+,4.46,4.83E-07,6.89E-05,26,17.34,+,1.5,0.162,1
cytochrome b6f complex assembly (GO:0010190),7,6,2.25,+,2.67,0.0981,1,0,2.27,-, < 0.01,0.206,1,5,1.25,+,4.01,0.0246,0.419,6,4.19,+,1.43,0.571,1
photosystem I assembly (GO:0048564),13,11,4.18,+,2.63,0.0282,0.809,0,4.21,-, < 0.01,0.0476,0.999,11,2.31,+,4.76,0.000337,0.0194,11,7.77,+,1.41,0.405,1
chlorophyll biosynthetic process (GO:0015995),31,26,9.97,+,2.61,0.000501,0.115,4,10.04,-,0.4,0.0777,1,24,5.52,+,4.35,3.72E-07,5.44E-05,28,18.54,+,1.51,0.138,1
tryptophan biosynthetic process (GO:0000162),12,10,3.86,+,2.59,0.042,0.987,1,3.89,-,0.26,0.209,1,6,2.14,+,2.81,0.0431,0.594,10,7.18,+,1.39,0.51,1
energy quenching (GO:1990066),12,10,3.86,+,2.59,0.042,0.983,1,3.89,-,0.26,0.209,1,8,2.14,+,3.75,0.00615,0.159,11,7.18,+,1.53,0.389,1
pyrimidine-containing compound salvage (GO:0008655),6,5,1.93,+,2.59,0.151,1,1,1.94,-,0.51,1,1,2,1.07,+,1.87,0.346,1,5,3.59,+,1.39,0.757,1
xanthophyll metabolic process (GO:0016122),12,10,3.86,+,2.59,0.042,0.979,0,3.89,-, < 0.01,0.047,1,8,2.14,+,3.75,0.00615,0.158,10,7.18,+,1.39,0.51,1
protein O-linked glycosylation via hydroxyproline (GO:0018258),6,5,1.93,+,2.59,0.151,1,1,1.94,-,0.51,1,1,2,1.07,+,1.87,0.346,1,5,3.59,+,1.39,0.757,1
indolalkylamine biosynthetic process (GO:0046219),12,10,3.86,+,2.59,0.042,0.975,1,3.89,-,0.26,0.209,1,6,2.14,+,2.81,0.0431,0.59,10,7.18,+,1.39,0.51,1
plastoquinone biosynthetic process (GO:0010236),6,5,1.93,+,2.59,0.151,1,1,1.94,-,0.51,1,1,5,1.07,+,4.68,0.0163,0.315,6,3.59,+,1.67,0.383,1
nonphotochemical quenching (GO:0010196),12,10,3.86,+,2.59,0.042,0.971,1,3.89,-,0.26,0.209,1,8,2.14,+,3.75,0.00615,0.158,11,7.18,+,1.53,0.389,1
"photosynthesis, light reaction (GO:0019684)",95,78,30.55,+,2.55,2.07E-09,3.93E-06,1,30.76,-,0.03,8.51E-11,2.43E-07,67,16.9,+,3.96,4.79E-16,1.37E-12,79,56.81,+,1.39,0.0334,1
NAD(P)H dehydrogenase complex assembly (GO:0010275),11,9,3.54,+,2.54,0.0385,0.935,0,3.56,-, < 0.01,0.0766,1,7,1.96,+,3.58,0.0122,0.261,9,6.58,+,1.37,0.495,1
thylakoid membrane organization (GO:0010027),43,35,13.83,+,2.53,8.82E-05,0.0458,2,13.92,-,0.14,0.000714,0.0464,27,7.65,+,3.53,1.4E-06,0.00019,37,25.71,+,1.44,0.106,1
photosynthesis (GO:0015979),139,112,44.7,+,2.51,1.9E-12,1.09E-08,6,45.01,-,0.13,4.21E-11,2.41E-07,95,24.73,+,3.84,1.65E-21,9.41E-18,117,83.12,+,1.41,0.00633,1
RNA capping (GO:0036260),5,4,1.61,+,2.49,0.235,1,1,1.62,-,0.62,1,1,1,0.89,+,1.12,1,1,4,2.99,+,1.34,0.736,1
7-methylguanosine RNA capping (GO:0009452),5,4,1.61,+,2.49,0.235,1,1,1.62,-,0.62,1,1,1,0.89,+,1.12,1,1,4,2.99,+,1.34,0.736,1
"pentose-phosphate shunt, non-oxidative branch (GO:0009052)",5,4,1.61,+,2.49,0.235,1,2,1.62,+,1.24,0.682,1,4,0.89,+,4.5,0.0347,0.535,5,2.99,+,1.67,0.516,1
molybdate ion transport (GO:0015689),5,4,1.61,+,2.49,0.235,1,2,1.62,+,1.24,0.682,1,1,0.89,+,1.12,1,1,5,2.99,+,1.67,0.516,1
aminoglycan metabolic process (GO:0006022),5,4,1.61,+,2.49,0.235,1,2,1.62,+,1.24,0.682,1,2,0.89,+,2.25,0.286,1,5,2.99,+,1.67,0.516,1
ammonia assimilation cycle (GO:0019676),5,4,1.61,+,2.49,0.235,1,0,1.62,-, < 0.01,0.344,1,3,0.89,+,3.37,0.107,0.95,4,2.99,+,1.34,0.736,1
monoterpene metabolic process (GO:0043692),5,4,1.61,+,2.49,0.235,1,0,1.62,-, < 0.01,0.344,1,2,0.89,+,2.25,0.286,1,4,2.99,+,1.34,0.736,1
plastid membrane organization (GO:0009668),44,35,14.15,+,2.47,0.000103,0.0394,3,14.25,-,0.21,0.00196,0.0992,27,7.83,+,3.45,1.93E-06,0.000251,38,26.31,+,1.44,0.109,1
"regulation of photosynthesis, light reaction (GO:0042548)",18,14,5.79,+,2.42,0.0207,0.657,2,5.83,-,0.34,0.192,1,12,3.2,+,3.75,0.000829,0.0388,16,10.76,+,1.49,0.287,1
DNA topological change (GO:0006265),9,7,2.89,+,2.42,0.0816,1,0,2.91,-, < 0.01,0.125,1,4,1.6,+,2.5,0.12,0.946,7,5.38,+,1.3,0.613,1
protein targeting to chloroplast (GO:0045036),35,27,11.25,+,2.4,0.000916,0.145,4,11.33,-,0.35,0.0396,0.911,19,6.23,+,3.05,0.000352,0.0197,28,20.93,+,1.34,0.297,1
establishment of protein localization to chloroplast (GO:0072596),35,27,11.25,+,2.4,0.000916,0.141,4,11.33,-,0.35,0.0396,0.907,19,6.23,+,3.05,0.000352,0.0195,28,20.93,+,1.34,0.297,1
protein repair (GO:0030091),17,13,5.47,+,2.38,0.0301,0.827,0,5.5,-, < 0.01,0.0191,0.568,12,3.03,+,3.97,0.000576,0.0289,13,10.17,+,1.28,0.572,1
carotenoid biosynthetic process (GO:0016117),21,16,6.75,+,2.37,0.0115,0.523,3,6.8,-,0.44,0.235,1,13,3.74,+,3.48,0.000843,0.0391,19,12.56,+,1.51,0.194,1
tetraterpenoid biosynthetic process (GO:0016109),21,16,6.75,+,2.37,0.0115,0.519,3,6.8,-,0.44,0.235,1,13,3.74,+,3.48,0.000843,0.0388,19,12.56,+,1.51,0.194,1
protein localization to chloroplast (GO:0072598),37,28,11.9,+,2.35,0.00118,0.168,4,11.98,-,0.33,0.028,0.751,19,6.58,+,2.89,0.000461,0.0242,29,22.13,+,1.31,0.308,1
tetrapyrrole biosynthetic process (GO:0033014),41,31,13.18,+,2.35,0.00048,0.114,5,13.28,-,0.38,0.0375,0.902,27,7.3,+,3.7,7.11E-07,9.9E-05,34,24.52,+,1.39,0.188,1
meiotic chromosome condensation (GO:0010032),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,2,0.71,+,2.81,0.226,1,4,2.39,+,1.67,0.483,1
regulation of mitotic spindle organization (GO:0060236),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
negative regulation of ion transport (GO:0043271),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
arabinan catabolic process (GO:0031222),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
arabinan metabolic process (GO:0031221),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
positive regulation of defense response to virus by host (GO:0002230),4,3,1.29,+,2.33,0.372,1,2,1.3,+,1.54,0.639,1,1,0.71,+,1.4,0.559,1,4,2.39,+,1.67,0.483,1
carbon utilization (GO:0015976),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
viral genome replication (GO:0019079),4,3,1.29,+,2.33,0.372,1,3,1.3,+,2.32,0.373,1,2,0.71,+,2.81,0.226,1,4,2.39,+,1.67,0.483,1
UDP-D-xylose biosynthetic process (GO:0033320),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
UDP-D-xylose metabolic process (GO:0033319),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
regulation of response to reactive oxygen species (GO:1901031),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,3,0.71,+,4.21,0.075,0.796,3,2.39,+,1.25,0.718,1
nucleoside transport (GO:0015858),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
hexose transmembrane transport (GO:0008645),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,3,0.71,+,4.21,0.075,0.793,3,2.39,+,1.25,0.718,1
UDP-glucose transmembrane transport (GO:0015786),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
S-glycoside biosynthetic process (GO:0016144),8,6,2.57,+,2.33,0.12,1,3,2.59,+,1.16,0.736,1,2,1.42,+,1.4,0.654,1,8,4.78,+,1.67,0.311,1
protein import into chloroplast stroma (GO:0045037),20,15,6.43,+,2.33,0.0164,0.622,3,6.48,-,0.46,0.329,1,10,3.56,+,2.81,0.0101,0.226,16,11.96,+,1.34,0.393,1
granum assembly (GO:0090391),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,3,0.71,+,4.21,0.075,0.789,3,2.39,+,1.25,0.718,1
mitotic spindle assembly (GO:0090307),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
Golgi calcium ion transport (GO:0032472),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
Golgi calcium ion homeostasis (GO:0032468),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
positive regulation of unidimensional cell growth (GO:0051512),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
NADH oxidation (GO:0006116),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,2,0.71,+,2.81,0.226,1,4,2.39,+,1.67,0.483,1
positive regulation of histone H3-K9 dimethylation (GO:1900111),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
regulation of spindle organization (GO:0090224),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
regulation of phospholipid biosynthetic process (GO:0071071),4,3,1.29,+,2.33,0.372,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
fructose metabolic process (GO:0006000),8,6,2.57,+,2.33,0.12,1,1,2.59,-,0.39,0.698,1,5,1.42,+,3.51,0.0351,0.538,6,4.78,+,1.25,0.784,1
glucosinolate biosynthetic process (GO:0019761),8,6,2.57,+,2.33,0.12,1,3,2.59,+,1.16,0.736,1,2,1.42,+,1.4,0.654,1,8,4.78,+,1.67,0.311,1
glycosinolate biosynthetic process (GO:0019758),8,6,2.57,+,2.33,0.12,1,3,2.59,+,1.16,0.736,1,2,1.42,+,1.4,0.654,1,8,4.78,+,1.67,0.311,1
pyrimidine nucleotide salvage (GO:0032262),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
AMP salvage (GO:0044209),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,0,0.71,-, < 0.01,1,1,3,2.39,+,1.25,0.718,1
UMP salvage (GO:0044206),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
"positive regulation of long-day photoperiodism, flowering (GO:0048578)",4,3,1.29,+,2.33,0.372,1,2,1.3,+,1.54,0.639,1,2,0.71,+,2.81,0.226,1,4,2.39,+,1.67,0.483,1
"short-day photoperiodism, flowering (GO:0048575)",4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,4,2.39,+,1.67,0.483,1
short-day photoperiodism (GO:0048572),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,4,2.39,+,1.67,0.483,1
nucleoside transmembrane transport (GO:1901642),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
regulation of fatty acid oxidation (GO:0046320),4,3,1.29,+,2.33,0.372,1,2,1.3,+,1.54,0.639,1,3,0.71,+,4.21,0.075,0.788,3,2.39,+,1.25,0.718,1
monoterpene biosynthetic process (GO:0043693),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
"photosynthesis, light harvesting in photosystem II (GO:0009769)",4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,3,0.71,+,4.21,0.075,0.786,3,2.39,+,1.25,0.718,1
regulation of phospholipid metabolic process (GO:1903725),4,3,1.29,+,2.33,0.372,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
NADH dehydrogenase complex (plastoquinone) assembly (GO:0010258),8,6,2.57,+,2.33,0.12,1,0,2.59,-, < 0.01,0.212,1,4,1.42,+,2.81,0.0941,0.886,6,4.78,+,1.25,0.784,1
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,4,2.39,+,1.67,0.483,1
ribulose bisphosphate carboxylase complex assembly (GO:0110102),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,3,0.71,+,4.21,0.075,0.785,3,2.39,+,1.25,0.718,1
negative regulation of cyclin-dependent protein kinase activity (GO:1904030),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,1,0.71,+,1.4,0.559,1,4,2.39,+,1.67,0.483,1
cutin biosynthetic process (GO:0010143),8,6,2.57,+,2.33,0.12,1,2,2.59,-,0.77,1,1,1,1.42,-,0.7,1,1,8,4.78,+,1.67,0.311,1
pyrimidine ribonucleotide salvage (GO:0010138),4,3,1.29,+,2.33,0.372,1,1,1.3,-,0.77,1,1,2,0.71,+,2.81,0.226,1,3,2.39,+,1.25,0.718,1
adenosine metabolic process (GO:0046085),4,3,1.29,+,2.33,0.372,1,0,1.3,-, < 0.01,0.578,1,1,0.71,+,1.4,0.559,1,3,2.39,+,1.25,0.718,1
regulation of photosynthesis (GO:0010109),31,23,9.97,+,2.31,0.00363,0.253,4,10.04,-,0.4,0.0777,1,15,5.52,+,2.72,0.00282,0.0951,27,18.54,+,1.46,0.174,1
carotenoid metabolic process (GO:0016116),27,20,8.68,+,2.3,0.00587,0.357,3,8.74,-,0.34,0.0862,1,15,4.8,+,3.12,0.000798,0.038,23,16.15,+,1.42,0.242,1
tetraterpenoid metabolic process (GO:0016108),27,20,8.68,+,2.3,0.00587,0.353,3,8.74,-,0.34,0.0862,1,15,4.8,+,3.12,0.000798,0.0376,23,16.15,+,1.42,0.242,1
porphyrin-containing compound biosynthetic process (GO:0006779),38,28,12.22,+,2.29,0.00132,0.171,5,12.3,-,0.41,0.0509,1,24,6.76,+,3.55,4.94E-06,0.000588,31,22.72,+,1.36,0.213,1
hydrogen peroxide catabolic process (GO:0042744),15,11,4.82,+,2.28,0.0398,0.94,3,4.86,-,0.62,0.588,1,7,2.67,+,2.62,0.038,0.567,13,8.97,+,1.45,0.334,1
plastid transcription (GO:0042793),11,8,3.54,+,2.26,0.103,1,0,3.56,-, < 0.01,0.0766,1,5,1.96,+,2.55,0.0809,0.815,8,6.58,+,1.22,0.645,1
magnesium ion transport (GO:0015693),11,8,3.54,+,2.26,0.103,1,5,3.56,+,1.4,0.561,1,1,1.96,-,0.51,1,1,10,6.58,+,1.52,0.37,1
cell wall macromolecule catabolic process (GO:0016998),11,8,3.54,+,2.26,0.103,1,2,3.56,-,0.56,0.747,1,4,1.96,+,2.04,0.266,1,9,6.58,+,1.37,0.495,1
heme metabolic process (GO:0042168),18,13,5.79,+,2.25,0.0336,0.875,2,5.83,-,0.34,0.192,1,11,3.2,+,3.43,0.00226,0.0781,14,10.76,+,1.3,0.469,1
intracellular sequestering of iron ion (GO:0006880),7,5,2.25,+,2.22,0.179,1,1,2.27,-,0.44,0.689,1,2,1.25,+,1.61,0.633,1,6,4.19,+,1.43,0.571,1
chloroplast-nucleus signaling pathway (GO:0010019),7,5,2.25,+,2.22,0.179,1,0,2.27,-, < 0.01,0.206,1,5,1.25,+,4.01,0.0246,0.421,5,4.19,+,1.19,0.772,1
unsaturated fatty acid metabolic process (GO:0033559),14,10,4.5,+,2.22,0.0569,1,4,4.53,-,0.88,1,1,6,2.49,+,2.41,0.107,0.955,12,8.37,+,1.43,0.418,1
NAD biosynthetic process (GO:0009435),7,5,2.25,+,2.22,0.179,1,1,2.27,-,0.44,0.689,1,3,1.25,+,2.41,0.183,1,6,4.19,+,1.43,0.571,1
xylan catabolic process (GO:0045493),7,5,2.25,+,2.22,0.179,1,0,2.27,-, < 0.01,0.206,1,3,1.25,+,2.41,0.183,1,5,4.19,+,1.19,0.772,1
mitochondrial ATP synthesis coupled proton transport (GO:0042776),7,5,2.25,+,2.22,0.179,1,3,2.27,+,1.32,0.714,1,5,1.25,+,4.01,0.0246,0.42,6,4.19,+,1.43,0.571,1
cell adhesion (GO:0007155),7,5,2.25,+,2.22,0.179,1,2,2.27,-,0.88,1,1,3,1.25,+,2.41,0.183,1,6,4.19,+,1.43,0.571,1
glycine catabolic process (GO:0006546),7,5,2.25,+,2.22,0.179,1,1,2.27,-,0.44,0.689,1,4,1.25,+,3.21,0.0709,0.774,6,4.19,+,1.43,0.571,1
carotene biosynthetic process (GO:0016120),7,5,2.25,+,2.22,0.179,1,1,2.27,-,0.44,0.689,1,4,1.25,+,3.21,0.0709,0.77,6,4.19,+,1.43,0.571,1
biological adhesion (GO:0022610),7,5,2.25,+,2.22,0.179,1,2,2.27,-,0.88,1,1,3,1.25,+,2.41,0.183,1,6,4.19,+,1.43,0.571,1
cell wall polysaccharide catabolic process (GO:0044347),7,5,2.25,+,2.22,0.179,1,0,2.27,-, < 0.01,0.206,1,3,1.25,+,2.41,0.183,1,5,4.19,+,1.19,0.772,1
UDP-N-acetylglucosamine biosynthetic process (GO:0006048),7,5,2.25,+,2.22,0.179,1,2,2.27,-,0.88,1,1,1,1.25,-,0.8,1,1,7,4.19,+,1.67,0.409,1
cellulose microfibril organization (GO:0010215),7,5,2.25,+,2.22,0.179,1,3,2.27,+,1.32,0.714,1,1,1.25,-,0.8,1,1,7,4.19,+,1.67,0.409,1
regulation of generation of precursor metabolites and energy (GO:0043467),24,17,7.72,+,2.2,0.0164,0.625,3,7.77,-,0.39,0.12,1,13,4.27,+,3.04,0.00208,0.0743,20,14.35,+,1.39,0.278,1
heme biosynthetic process (GO:0006783),17,12,5.47,+,2.2,0.048,1,2,5.5,-,0.36,0.191,1,10,3.03,+,3.31,0.00434,0.124,13,10.17,+,1.28,0.572,1
cellular polysaccharide catabolic process (GO:0044247),17,12,5.47,+,2.2,0.048,1,1,5.5,-,0.18,0.0943,1,10,3.03,+,3.31,0.00434,0.123,13,10.17,+,1.28,0.572,1
photosynthetic electron transport chain (GO:0009767),34,24,10.93,+,2.2,0.00509,0.323,0,11.01,-, < 0.01,0.000157,0.0144,19,6.05,+,3.14,0.000158,0.0106,24,20.33,+,1.18,0.587,1
glucan catabolic process (GO:0009251),20,14,6.43,+,2.18,0.0276,0.81,1,6.48,-,0.15,0.0392,0.921,13,3.56,+,3.65,0.000603,0.03,15,11.96,+,1.25,0.491,1
cell wall pectin biosynthetic process (GO:0052325),10,7,3.22,+,2.18,0.151,1,2,3.24,-,0.62,0.742,1,4,1.78,+,2.25,0.25,1,8,5.98,+,1.34,0.628,1
negative regulation of carbohydrate metabolic process (GO:0045912),10,7,3.22,+,2.18,0.151,1,2,3.24,-,0.62,0.742,1,0,1.78,-, < 0.01,0.377,1,9,5.98,+,1.51,0.477,1
mucilage metabolic process involved in seed coat development (GO:0048359),10,7,3.22,+,2.18,0.151,1,3,3.24,-,0.93,1,1,1,1.78,-,0.56,1,1,8,5.98,+,1.34,0.628,1
unsaturated fatty acid biosynthetic process (GO:0006636),13,9,4.18,+,2.15,0.0816,1,3,4.21,-,0.71,0.775,1,6,2.31,+,2.59,0.0552,0.662,11,7.77,+,1.41,0.405,1
cell wall pectin metabolic process (GO:0052546),19,13,6.11,+,2.13,0.0389,0.925,4,6.15,-,0.65,0.627,1,8,3.38,+,2.37,0.0531,0.656,15,11.36,+,1.32,0.479,1
chlorophyll metabolic process (GO:0015994),47,32,15.11,+,2.12,0.00144,0.179,7,15.22,-,0.46,0.0559,1,28,8.36,+,3.35,1.93E-06,0.000256,37,28.11,+,1.32,0.215,1
UDP metabolic process (GO:0046048),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
purine ribonucleoside bisphosphate metabolic process (GO:0034035),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
pyruvate transport (GO:0006848),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
nitric oxide biosynthetic process (GO:0006809),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
allantoin catabolic process (GO:0000256),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
protein unfolding (GO:0043335),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
glycolate metabolic process (GO:0009441),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
alditol phosphate metabolic process (GO:0052646),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,2,1.07,+,1.87,0.346,1,5,3.59,+,1.39,0.757,1
positive regulation of reactive oxygen species biosynthetic process (GO:1903428),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
L-alanine catabolic process (GO:0042853),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
L-alanine metabolic process (GO:0042851),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
protein autoprocessing (GO:0016540),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
tetrahydrobiopterin biosynthetic process (GO:0006729),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
galactose catabolic process via UDP-galactose (GO:0033499),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
tissue homeostasis (GO:0001894),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
D-xylose metabolic process (GO:0042732),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,1,1.07,-,0.94,1,1,6,3.59,+,1.67,0.383,1
glycerol ether metabolic process (GO:0006662),6,4,1.93,+,2.07,0.27,1,3,1.94,+,1.54,0.464,1,4,1.07,+,3.75,0.0511,0.644,6,3.59,+,1.67,0.383,1
"negative regulation of photosynthesis, light reaction (GO:0043155)",9,6,2.89,+,2.07,0.223,1,2,2.91,-,0.69,1,1,7,1.6,+,4.37,0.00579,0.157,8,5.38,+,1.49,0.456,1
guanosine tetraphosphate metabolic process (GO:0015969),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
GDP-mannose biosynthetic process (GO:0009298),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
biological phase (GO:0044848),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
post-chaperonin tubulin folding pathway (GO:0007023),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
microtubule depolymerization (GO:0007019),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
positive regulation of vitamin E biosynthetic process (GO:1904966),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
regulation of vitamin E biosynthetic process (GO:1904965),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
indolalkylamine metabolic process (GO:0006586),15,10,4.82,+,2.07,0.0982,1,3,4.86,-,0.62,0.588,1,6,2.67,+,2.25,0.117,0.946,12,8.97,+,1.34,0.551,1
positive regulation of cell cycle G2/M phase transition (GO:1902751),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
