GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
xylulose metabolic process (GO:0005997),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
morphogenesis of an epithelium (GO:0002009),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
trehalose catabolic process (GO:0005993),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
lactose catabolic process (GO:0005990),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
N-methylnicotinate transport (GO:2001143),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
nicotinate transport (GO:2001142),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
lactose metabolic process (GO:0005988),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
glycogen catabolic process (GO:0005980),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,1,0.02,+,49.77,0.0295,1
arabinose transmembrane transport (GO:0015751),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of protein dephosphorylation (GO:0035308),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
pentose transmembrane transport (GO:0015750),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of dephosphorylation (GO:0035305),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
succinate transport (GO:0015744),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
alpha-ketoglutarate transport (GO:0015742),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
methionine catabolic process (GO:0009087),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
pyruvate family amino acid catabolic process (GO:0009080),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
quinolinate metabolic process (GO:0046874),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
mitochondrial tRNA modification (GO:0070900),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of sinapate ester biosynthetic process (GO:1903086),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of sinapate ester biosynthetic process (GO:1903085),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
pyruvate family amino acid metabolic process (GO:0009078),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
oxaloacetate transport (GO:0015729),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001106),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
allantoin transport (GO:0015720),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903070),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
photosynthetic state transition (GO:0062055),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
anaerobic respiration (GO:0009061),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
"pentose-phosphate shunt, non-oxidative branch (GO:0009052)",5,5,2.99,+,1.67,0.516,1,5,1.79,+,2.79,0.142,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
thiosulfate transport (GO:0015709),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
L-pipecolic acid biosynthetic process (GO:0062034),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
response to protozoan (GO:0001562),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
positive regulation of seed maturation (GO:2000693),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
ethanolamine-containing compound metabolic process (GO:0042439),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
prostaglandin biosynthetic process (GO:0001516),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
choline biosynthetic process (GO:0042425),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
intracellular transport of virus (GO:0075733),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
protein myristoylation (GO:0018377),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
cellular response to exogenous dsRNA (GO:0071360),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of steroid biosynthetic process (GO:0010894),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cellular response to dsRNA (GO:0071359),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptidyl-glutamine methylation (GO:0018364),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
medium-chain fatty acid biosynthetic process (GO:0051792),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
medium-chain fatty acid metabolic process (GO:0051791),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
cellular response to cytokine stimulus (GO:0071345),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
mitochondrial transcription (GO:0006390),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
protein farnesylation (GO:0018343),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
positive regulation of phospholipase C activity (GO:0010863),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
termination of RNA polymerase III transcription (GO:0006386),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
detection of redox state (GO:0051776),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
cellular response to trehalose stimulus (GO:0071327),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cellular response to mannitol stimulus (GO:0071325),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
7-methylguanosine mRNA capping (GO:0006370),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
actin crosslink formation (GO:0051764),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
S-glycoside catabolic process (GO:0016145),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
positive regulation of reciprocal meiotic recombination (GO:0010845),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
S-glycoside biosynthetic process (GO:0016144),8,8,4.78,+,1.67,0.311,1,4,2.87,+,1.39,0.529,1,6,4.53,+,1.32,0.59,1,0,0.08,-, < 0.01,1,1
negative regulation of secondary metabolite biosynthetic process (GO:1900377),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of purine nucleotide biosynthetic process (GO:1900371),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
termination of RNA polymerase I transcription (GO:0006363),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptide cross-linking via L-cystine (GO:0018316),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
glycoside catabolic process (GO:0016139),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
glycoside metabolic process (GO:0016137),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
positive regulation of defense response to insect (GO:1900367),4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
negative regulation of defense response to insect (GO:1900366),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of mRNA polyadenylation (GO:1900364),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
purine nucleotide-sugar transmembrane transport (GO:0090480),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
xanthophyll catabolic process (GO:0016124),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
shoot organ boundary specification (GO:0090470),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
carotenoid catabolic process (GO:0016118),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
tetraterpenoid catabolic process (GO:0016110),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cyclic threonylcarbamoyladenosine biosynthetic process (GO:0061504),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
nucleosome disassembly (GO:0006337),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
DNA replication-dependent nucleosome assembly (GO:0006335),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
sesquiterpenoid catabolic process (GO:0016107),4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
mitochondrial tRNA wobble uridine modification (GO:0070899),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
RNA polymerase III preinitiation complex assembly (GO:0070898),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
phloem glucosinolate loading (GO:0090449),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
miRNA mediated inhibition of translation (GO:0035278),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
protein import into mitochondrial intermembrane space (GO:0045041),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
multicellular organism growth (GO:0035264),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein import into chloroplast thylakoid membrane (GO:0045038),6,6,3.59,+,1.67,0.383,1,5,2.15,+,2.32,0.173,1,6,3.4,+,1.76,0.372,1,0,0.06,-, < 0.01,1,1
molybdate ion export from vacuole (GO:0090414),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
malonate catabolic process (GO:0090410),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
molybdate ion transport (GO:0015689),5,5,2.99,+,1.67,0.516,1,1,1.79,-,0.56,1,1,5,2.83,+,1.76,0.512,1,0,0.05,-, < 0.01,1,1
phloem nitrate loading (GO:0090408),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
stress-induced premature senescence (GO:0090400),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
nickel cation transport (GO:0015675),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
oxygen transport (GO:0015671),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
gas transport (GO:0015669),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
positive regulation of cellular response to drug (GO:2001040),4,4,2.39,+,1.67,0.483,1,1,1.43,-,0.7,1,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
regulation of cellular response to drug (GO:2001038),4,4,2.39,+,1.67,0.483,1,1,1.43,-,0.7,1,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
positive regulation of urease activity (GO:1905182),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of urease activity (GO:1905181),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
viral replication complex formation and maintenance (GO:0046786),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
positive regulation of response to drug (GO:2001025),4,4,2.39,+,1.67,0.483,1,1,1.43,-,0.7,1,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
regulation of response to drug (GO:2001023),4,4,2.39,+,1.67,0.483,1,1,1.43,-,0.7,1,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
positive regulation of plant-type cell wall cellulose biosynthetic process (GO:2001011),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
endosome to plasma membrane protein transport (GO:0099638),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cytoplasmic streaming (GO:0099636),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of plant-type cell wall cellulose biosynthetic process (GO:2001009),4,4,2.39,+,1.67,0.483,1,1,1.43,-,0.7,1,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
positive regulation of cellulose biosynthetic process (GO:2001008),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
negative regulation of cellulose biosynthetic process (GO:2001007),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
exit from dormancy (GO:0097438),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
negative regulation of meiotic chromosome separation (GO:1905133),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of meiotic chromosome separation (GO:1905132),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
phylloquinone metabolic process (GO:0042374),8,8,4.78,+,1.67,0.311,1,7,2.87,+,2.44,0.0834,1,8,4.53,+,1.76,0.299,1,0,0.08,-, < 0.01,1,1
vitamin K metabolic process (GO:0042373),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
phylloquinone biosynthetic process (GO:0042372),8,8,4.78,+,1.67,0.311,1,7,2.87,+,2.44,0.0834,1,8,4.53,+,1.76,0.299,1,0,0.08,-, < 0.01,1,1
vitamin K biosynthetic process (GO:0042371),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
water-soluble vitamin catabolic process (GO:0042365),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of ion transmembrane transport (GO:0034766),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
negative regulation of transmembrane transport (GO:0034763),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
thiamine diphosphate metabolic process (GO:0042357),5,5,2.99,+,1.67,0.516,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
"positive regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000582)",4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
"regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000580)",4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
CDP biosynthetic process (GO:0046705),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
CDP metabolic process (GO:0046704),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of microtubule motor activity (GO:2000576),4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
regulation of microtubule motor activity (GO:2000574),4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,3,2.27,+,1.32,0.709,1,0,0.04,-, < 0.01,1,1
indole glucosinolate catabolic process (GO:0042344),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
indole glucosinolate metabolic process (GO:0042343),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
cellular response to manganese ion (GO:0071287),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cellular response to magnesium ion (GO:0071286),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
cellular response to lead ion (GO:0071284),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein-FAD linkage (GO:0018293),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
DNA replication-dependent nucleosome organization (GO:0034723),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
cellular response to iron ion (GO:0071281),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
cellular response to copper ion (GO:0071280),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
histone H3-K4 demethylation (GO:0034720),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
plastid translation (GO:0032544),13,13,7.77,+,1.67,0.224,1,11,4.66,+,2.36,0.0375,1,13,7.37,+,1.76,0.155,1,0,0.13,-, < 0.01,1,1
positive regulation of protein geranylgeranylation (GO:2000541),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
cellular response to cadmium ion (GO:0071276),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of protein geranylgeranylation (GO:2000539),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
regulation of protein import into nucleus (GO:0042306),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of translational initiation in response to starvation (GO:0071264),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of translational initiation in response to starvation (GO:0071262),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
polyprenol catabolic process (GO:0016095),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
polyprenol biosynthetic process (GO:0016094),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
cellular response to gravity (GO:0071258),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cytokinetic process (GO:0032506),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
prenylcysteine metabolic process (GO:0030329),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
prenylcysteine catabolic process (GO:0030328),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
prenylated protein catabolic process (GO:0030327),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
glucose transmembrane transport (GO:1904659),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,1,0.03,+,33.18,0.0392,1
