GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
"negative regulation of DNA-templated transcription, initiation (GO:2000143)",3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,1,0.58,+,1.74,0.505,1,0,0.89,-, < 0.01,1,1
positive regulation of ERAD pathway (GO:1904294),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of ERAD pathway (GO:1904293),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),4,4,2.39,+,1.67,0.483,1,4,1.25,+,3.2,0.098,1,2,0.77,+,2.6,0.25,1,0,1.19,-, < 0.01,0.58,1
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898),4,4,2.39,+,1.67,0.483,1,4,1.25,+,3.2,0.098,1,2,0.77,+,2.6,0.25,1,0,1.19,-, < 0.01,0.58,1
mitotic cell cycle phase (GO:0098763),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
homogalacturonan metabolic process (GO:0010394),4,4,2.39,+,1.67,0.483,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,4,1.19,+,3.36,0.0874,1
galactoglucomannan metabolic process (GO:0010392),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of protein refolding (GO:0061083),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
maintenance of seed dormancy by absisic acid (GO:0098755),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of stomatal complex development (GO:2000123),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of removal of superoxide radicals (GO:2000121),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
sequestering of zinc ion (GO:0032119),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
peroxisome-chloroplast membrane tethering (GO:0010381),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
centrosome duplication (GO:0051298),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of cysteine-type endopeptidase activity (GO:2000117),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of cysteine-type endopeptidase activity (GO:2000116),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
GDP-mannose transmembrane transport (GO:1990570),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
establishment of spindle orientation (GO:0051294),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
establishment of spindle localization (GO:0051293),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
protein heterooligomerization (GO:0051291),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
protein heterotetramerization (GO:0051290),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
temperature compensation of the circadian clock (GO:0010378),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
negative regulation of gibberellin biosynthetic process (GO:0010373),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
UDP-N-acetylglucosamine transmembrane transport (GO:1990569),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
macromolecule depalmitoylation (GO:0098734),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
protein homotetramerization (GO:0051289),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,1,0.77,+,1.3,0.584,1,1,1.19,-,0.84,1,1
co-translational protein modification (GO:0043686),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of age-related resistance (GO:1904250),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
positive regulation of ethylene biosynthetic process (GO:0010365),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
immune response-regulating cell surface receptor signaling pathway (GO:0002768),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
negative regulation of anion channel activity by blue light (GO:0010362),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
regulation of anion channel activity by blue light (GO:0010361),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
negative regulation of anion channel activity (GO:0010360),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
immune response-regulating signaling pathway (GO:0002764),4,4,2.39,+,1.67,0.483,1,3,1.25,+,2.4,0.368,1,3,0.77,+,3.91,0.088,1,1,1.19,-,0.84,1,1
mitochondrial coenzyme A transmembrane transport (GO:1990559),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
symmetric cell division (GO:0098725),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of age-related resistance (GO:1904248),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
response to L-glutamate (GO:1902065),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,3,0.58,+,5.21,0.057,0.877,0,0.89,-, < 0.01,1,1
innate immune response-activating signal transduction (GO:0002758),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,2,0.58,+,3.47,0.185,1,1,0.89,+,1.12,1,1
immune response-activating signal transduction (GO:0002757),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,2,0.58,+,3.47,0.185,1,1,0.89,+,1.12,1,1
cellular response to magnesium starvation (GO:0010350),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
cell surface pattern recognition receptor signaling pathway (GO:0002752),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
pantothenate import across plasma membrane (GO:0098717),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of nitrogen utilization (GO:0045848),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
iron ion import across plasma membrane (GO:0098711),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
seed oilbody biogenesis (GO:0010344),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
endosperm cellularization (GO:0010342),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of meiotic nuclear division (GO:0045836),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
negative regulation of isoprenoid metabolic process (GO:0045827),4,4,2.39,+,1.67,0.483,1,3,1.25,+,2.4,0.368,1,2,0.77,+,2.6,0.25,1,1,1.19,-,0.84,1,1
negative regulation of cellular defense response (GO:0051245),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
positive regulation of protein import into chloroplast stroma (GO:1904216),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of protein import into chloroplast stroma (GO:1904215),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of seed dormancy process (GO:1902039),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
induction of programmed cell death (GO:0012502),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
membrane invagination (GO:0010324),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"negative regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0010323)",1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0010322)",3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,3,0.89,+,3.36,0.138,1
secondary thickening (GO:0080191),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
detoxification of zinc ion (GO:0010312),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of protein transport (GO:0051224),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
lateral root branching (GO:0080181),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
2-methylguanosine metabolic process (GO:0080180),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
PSII associated light-harvesting complex II catabolic process (GO:0010304),6,6,3.59,+,1.67,0.383,1,0,1.88,-, < 0.01,0.347,1,0,1.15,-, < 0.01,0.598,1,6,1.79,+,3.36,0.037,1
1-methylguanosine metabolic process (GO:0080179),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
5-carbamoylmethyl uridine residue modification (GO:0080178),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
homogentisate catabolic process (GO:1902000),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
cellular response to boron-containing substance deprivation (GO:0080169),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of carbon utilization (GO:0043609),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
phytochromobilin metabolic process (GO:0051202),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
intracellular auxin transport (GO:0080162),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
protein destabilization (GO:0031648),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
negative regulation of reductive pentose-phosphate cycle (GO:0080153),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,2,0.89,+,2.24,0.324,1
arabinose biosynthetic process (GO:0019567),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of reductive pentose-phosphate cycle (GO:0080152),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,2,0.89,+,2.24,0.324,1
positive regulation of salicylic acid mediated signaling pathway (GO:0080151),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,1,0.77,+,1.3,0.584,1,2,1.19,+,1.68,0.626,1
regulation of inorganic anion transmembrane transport (GO:1903795),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of anion transport (GO:1903792),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
photosynthetic NADP+ reduction (GO:0009780),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
amino acid homeostasis (GO:0080144),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,2,0.58,+,3.47,0.185,1,2,0.89,+,2.24,0.324,1
regulation of amino acid export (GO:0080143),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of amino acid transmembrane transport (GO:1903789),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
multicellular organismal iron ion homeostasis (GO:0060586),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
priming of cellular response to stress (GO:0080136),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
positive regulation of lipid localization (GO:1905954),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
arginine catabolic process to glutamate (GO:0019544),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of DNA double-strand break processing (GO:1903775),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
(-)-pinoresinol biosynthetic process (GO:1901599),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
(-)-pinoresinol metabolic process (GO:1901598),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
pyridine-containing compound catabolic process (GO:0072526),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,1,0.89,+,1.12,1,1
indole glucosinolate biosynthetic process (GO:0009759),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
ER body organization (GO:0080119),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
positive regulation of glycine hydroxymethyltransferase activity (GO:0080114),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
D-gluconate metabolic process (GO:0019521),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
aldonic acid metabolic process (GO:0019520),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
plant ovule morphogenesis (GO:0048482),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
cell aging (GO:0007569),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
RNA destabilization (GO:0050779),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
triglyceride homeostasis (GO:0070328),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
cyanide catabolic process (GO:0019500),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
carpel formation (GO:0048462),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
detection of ethylene stimulus (GO:0009727),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
regulation of phosphatidate phosphatase activity (GO:1903730),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
detection of cytokinin stimulus (GO:0009722),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of phospholipid metabolic process (GO:1903726),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of phospholipid metabolic process (GO:1903725),4,4,2.39,+,1.67,0.483,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,3,1.19,+,2.52,0.202,1
chalcone biosynthetic process (GO:0009715),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
lignin catabolic process (GO:0046274),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
chalcone metabolic process (GO:0009714),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
phenylpropanoid catabolic process (GO:0046271),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
IRE1-mediated unfolded protein response (GO:0036498),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
membrane biogenesis (GO:0044091),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
carpel morphogenesis (GO:0048445),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
positive regulation of DNA demethylation (GO:1901537),4,4,2.39,+,1.67,0.483,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,1,1.19,-,0.84,1,1
nitrotoluene catabolic process (GO:0046263),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
trinitrotoluene catabolic process (GO:0046260),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of peptidyl-tyrosine phosphorylation (GO:0050730),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"2,4,6-trinitrotoluene catabolic process (GO:0046256)",2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
abscisic acid-activated signaling pathway involved in stomatal movement (GO:1901527),4,4,2.39,+,1.67,0.483,1,3,1.25,+,2.4,0.368,1,2,0.77,+,2.6,0.25,1,2,1.19,+,1.68,0.626,1
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
cell death in response to hydrogen peroxide (GO:0036474),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
salicylic acid catabolic process (GO:0046244),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
positive regulation of acylglycerol transport (GO:1901508),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
regulation of acylglycerol transport (GO:1901506),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
ether biosynthetic process (GO:1901503),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
positive regulation of protein binding (GO:0032092),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of autophagy in response to ER overload (GO:0034263),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
negative regulation of L-ascorbic acid biosynthetic process (GO:2000083),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
nitric oxide metabolic process (GO:0046209),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
regulation of defense response by callose deposition (GO:2000071),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,2,0.58,+,3.47,0.185,1,1,0.89,+,1.12,1,1
regulation of defense response to insect (GO:2000068),6,6,3.59,+,1.67,0.383,1,4,1.88,+,2.13,0.263,1,3,1.15,+,2.6,0.165,1,2,1.79,+,1.12,1,1
positive regulation of translational initiation in response to stress (GO:0032058),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of translation in response to stress (GO:0032056),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
acquisition of nutrients from host (GO:0044002),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
tRNA thio-modification (GO:0034227),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
quinolinate catabolic process (GO:0034213),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of trichome morphogenesis (GO:2000039),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
positive regulation of cell size (GO:0045793),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of stem cell division (GO:2000035),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of cell size (GO:0045792),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
detoxification of cobalt ion (GO:0010299),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
