




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
regulation of lipase activity (GO:0060191)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
trans-zeatin metabolic process (GO:0033400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
arabinan catabolic process (GO:0031222)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
arabinan metabolic process (GO:0031221)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cell cycle switching (GO:0060184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tissue homeostasis (GO:0001894)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of exocyst localization (GO:0060178)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
selenium compound metabolic process (GO:0001887)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor signaling pathway (GO:0007186)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
receptor recycling (GO:0001881)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-D-galactose metabolic process (GO:0052573)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA transcription by RNA polymerase III (GO:0042797)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
chromatin-mediated maintenance of transcription (GO:0048096)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA transcription by RNA polymerase III (GO:0042796)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
plastid rRNA transcription (GO:0042794)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
plastid transcription (GO:0042793)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular protein catabolic process (GO:1903363)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
5S class rRNA transcription by RNA polymerase III (GO:0042791)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of camalexin biosynthetic process (GO:1901183)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of camalexin biosynthetic process (GO:1901182)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
posttranslational protein targeting to membrane, translocation (GO:0031204)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
signal complex assembly (GO:0007172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA transcription by RNA polymerase II (GO:0042789)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
L-ornithine transmembrane transport (GO:1903352)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-end processing (GO:0042780)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
lycopene biosynthetic process (GO:1901177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
lycopene metabolic process (GO:1901175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
enzyme linked receptor protein signaling pathway (GO:0007167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of tissue polarity (GO:0007164)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of cell polarity (GO:0007163)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxisome localization (GO:0060151)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-trailer cleavage (GO:0042779)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	25	0	.32	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	28	0	.36	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
signal transduction in response to DNA damage (GO:0042770)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell wall organization or biogenesis (GO:1903340)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of posttranscriptional gene silencing (GO:0060149)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of posttranscriptional gene silencing (GO:0060148)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of posttranscriptional gene silencing (GO:0060147)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
primary amino compound metabolic process (GO:1901160)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cell adhesion (GO:0007155)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
viral gene silencing in virus induced gene silencing (GO:0060145)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of endopeptidase activity (GO:0052548)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cell part morphogenesis (GO:0032990)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of peptidase activity (GO:0052547)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cell wall pectin metabolic process (GO:0052546)	19	0	.25	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
defense response by callose deposition in cell wall (GO:0052544)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response by callose deposition (GO:0052542)	14	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
plant-type cell wall cellulose metabolic process (GO:0052541)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell wall organization or biogenesis (GO:1903339)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell wall organization or biogenesis (GO:1903338)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleosome mobilization (GO:0042766)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of vacuolar transport (GO:1903335)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of sulfur metabolic process (GO:0042762)	19	0	.25	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein folding (GO:1903332)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid biosynthetic process (GO:0042761)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid catabolic process (GO:0042760)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular component morphogenesis (GO:0032989)	30	0	.39	-	 < 0.01	1.00E00	1.00E00	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex disassembly (GO:0032988)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex disassembly (GO:0032986)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-containing complex disassembly (GO:0032984)	35	0	.45	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
female meiotic nuclear division (GO:0007143)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex I assembly (GO:0032981)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
male meiosis II (GO:0007142)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
male meiosis I (GO:0007141)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule organizing center (GO:1905508)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid biosynthetic process (GO:0042759)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of iron-sulfur cluster assembly (GO:1903329)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian rhythm (GO:0042754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of circadian rhythm (GO:0042753)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of circadian rhythm (GO:0042752)	44	0	.57	-	 < 0.01	1.00E00	1.00E00	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein modification by small protein conjugation or removal (GO:1903320)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
oligosaccharide catabolic process (GO:0009313)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane from inner side (GO:0032978)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	24	0	.31	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of lignin biosynthetic process (GO:1901141)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
amine catabolic process (GO:0009310)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic prophase II (GO:0007136)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
meiosis II (GO:0007135)	19	0	.25	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament-based process (GO:0032970)	35	0	.45	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex assembly (GO:0007130)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide catabolic process (GO:0042744)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of nitrogen cycle metabolic process (GO:1903314)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide metabolic process (GO:0042743)	22	0	.28	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA metabolic process (GO:1903313)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
amine biosynthetic process (GO:0009309)	26	0	.34	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA metabolic process (GO:1903312)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA metabolic process (GO:1903311)	53	0	.69	-	 < 0.01	1.00E00	1.00E00	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
protein secretion (GO:0009306)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	23	0	.30	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
protein biotinylation (GO:0009305)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA transcription (GO:0009304)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA transcription (GO:0009303)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	25	0	.32	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic prophase I (GO:0007128)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA transcription (GO:0009301)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen metabolic process (GO:0032963)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of inositol trisphosphate biosynthetic process (GO:0032960)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
heme O biosynthetic process (GO:0048034)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
heme o metabolic process (GO:0048033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
D-xylose metabolic process (GO:0042732)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
anatomical structure maturation (GO:0071695)	106	0	1.37	-	 < 0.01	6.48E-01	1.00E00	0	.34	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00
protein localization to extracellular region (GO:0071692)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol phosphate biosynthetic process (GO:0032958)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate metabolic process (GO:0032957)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	34	0	.44	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of division septum assembly (GO:0032955)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cytokinetic process (GO:0032954)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of beta-glucan biosynthetic process (GO:0032951)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
male meiosis cytokinesis (GO:0007112)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of beta-glucan metabolic process (GO:0032950)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
N-glycan fucosylation (GO:0036071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound biosynthetic process (GO:0042727)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound metabolic process (GO:0042726)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA splicing, via spliceosome (GO:0048024)	37	0	.48	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
thiamine-containing compound biosynthetic process (GO:0042724)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
